Countries of destination , Years, MU: Persons, Valoare
United State of America, Year 1996, Number of persons, 3181
United State of America, Year 1997, Number of persons, 2861
United State of America, Year 1998, Number of persons, 2868
United State of America, Year 1999, Number of persons, 2386
United State of America, Year 2000, Number of persons, 2723
United State of America, Year 2001, Number of persons, 1876
United State of America, Year 2002, Number of persons, 1356
United State of America, Year 2003, Number of persons, 2012
United State of America, Year 2004, Number of persons, 2049
United State of America, Year 2005, Number of persons, 1679
United State of America, Year 2006, Number of persons, 1982
United State of America, Year 2007, Number of persons, 1535
United State of America, Year 2008, Number of persons, 1591
United State of America, Year 2009, Number of persons, 1793
United State of America, Year 2010, Number of persons, 1086
United State of America, Year 2011, Number of persons, 1350
United State of America, Year 2012, Number of persons, 1073
United State of America, Year 2013, Number of persons, 819
United State of America, Year 2014, Number of persons, 536
United State of America, Year 2015, Number of persons, 802
United State of America, Year 2016, Number of persons, 1281
United State of America, Year 2017, Number of persons, 1165
United State of America, Year 2018, Number of persons, 1243
United State of America, Year 2019, Number of persons, 1227
United State of America, Year 2020, Number of persons, 777
United State of America, Year 2021, Number of persons, 1695
United State of America, Year 2022, Number of persons, 1349
United State of America, Year 2023, Number of persons, 1088
United State of America, Year 2024, Number of persons, 943
Sweden, Year 1990, Number of persons, 996
Sweden, Year 1991, Number of persons, 381
Sweden, Year 1992, Number of persons, 686
Sweden, Year 1993, Number of persons, 199
Sweden, Year 1994, Number of persons, 176
Sweden, Year 1995, Number of persons, 520
Sweden, Year 1996, Number of persons, 310
Sweden, Year 1997, Number of persons, 468
Sweden, Year 1998, Number of persons, 129
Sweden, Year 1999, Number of persons, 98
Sweden, Year 2000, Number of persons, 90
Sweden, Year 2001, Number of persons, 51
Sweden, Year 2002, Number of persons, 42
Sweden, Year 2003, Number of persons, 50
Sweden, Year 2004, Number of persons, 62
Sweden, Year 2005, Number of persons, 29
Sweden, Year 2006, Number of persons, 37
Sweden, Year 2007, Number of persons, 2
Sweden, Year 2008, Number of persons, 7
Sweden, Year 2009, Number of persons, 15
Sweden, Year 2010, Number of persons, 17
Sweden, Year 2011, Number of persons, 20
Sweden, Year 2012, Number of persons, 29
Sweden, Year 2013, Number of persons, 44
Sweden, Year 2014, Number of persons, 51
Sweden, Year 2015, Number of persons, 104
Sweden, Year 2016, Number of persons, 167
Sweden, Year 2017, Number of persons, 181
Sweden, Year 2018, Number of persons, 173
Sweden, Year 2019, Number of persons, 216
Sweden, Year 2020, Number of persons, 167
Sweden, Year 2021, Number of persons, 231
Sweden, Year 2022, Number of persons, 234
Sweden, Year 2023, Number of persons, 191
Sweden, Year 2024, Number of persons, 113
Hungary, Year 1990, Number of persons, 10635
Hungary, Year 1991, Number of persons, 4427
Hungary, Year 1992, Number of persons, 4726
Hungary, Year 1993, Number of persons, 3674
Hungary, Year 1994, Number of persons, 1779
Hungary, Year 1995, Number of persons, 2509
Hungary, Year 1996, Number of persons, 1485
Hungary, Year 1997, Number of persons, 1244
Hungary, Year 1998, Number of persons, 1306
Hungary, Year 1999, Number of persons, 774
Hungary, Year 2000, Number of persons, 881
Hungary, Year 2001, Number of persons, 680
Hungary, Year 2002, Number of persons, 903
Hungary, Year 2003, Number of persons, 984
Hungary, Year 2004, Number of persons, 1553
Hungary, Year 2005, Number of persons, 1013
Hungary, Year 2006, Number of persons, 900
Hungary, Year 2007, Number of persons, 266
Hungary, Year 2008, Number of persons, 354
Hungary, Year 2009, Number of persons, 331
Hungary, Year 2010, Number of persons, 266
Hungary, Year 2011, Number of persons, 514
Hungary, Year 2012, Number of persons, 355
Hungary, Year 2013, Number of persons, 346
Hungary, Year 2014, Number of persons, 286
Hungary, Year 2015, Number of persons, 420
Hungary, Year 2016, Number of persons, 390
Hungary, Year 2017, Number of persons, 271
Hungary, Year 2018, Number of persons, 304
Hungary, Year 2019, Number of persons, 296
Hungary, Year 2020, Number of persons, 129
Hungary, Year 2021, Number of persons, 186
Hungary, Year 2022, Number of persons, 334
Hungary, Year 2023, Number of persons, 261
Hungary, Year 2024, Number of persons, 273
Other countries, Year 1990, Number of persons, 3730
Other countries, Year 1991, Number of persons, 3208
Other countries, Year 1992, Number of persons, 2288
Other countries, Year 1993, Number of persons, 1010
Other countries, Year 1994, Number of persons, 1363
Other countries, Year 1995, Number of persons, 2504
Other countries, Year 1996, Number of persons, 2367
Other countries, Year 1997, Number of persons, 1841
Other countries, Year 1998, Number of persons, 2640
Other countries, Year 1999, Number of persons, 2097
Other countries, Year 2000, Number of persons, 2200
Other countries, Year 2001, Number of persons, 662
Other countries, Year 2002, Number of persons, 609
