Sex, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Dolj, Year 2007, Number of persons, 210
Total, Dolj, Year 2008, Number of persons, 165
Total, Dolj, Year 2009, Number of persons, 283
Total, Dolj, Year 2010, Number of persons, 192
Total, Dolj, Year 2011, Number of persons, 299
Total, Dolj, Year 2012, Number of persons, 291
Total, Dolj, Year 2013, Number of persons, 277
Total, Dolj, Year 2014, Number of persons, 260
Total, Dolj, Year 2015, Number of persons, 303
Total, Dolj, Year 2016, Number of persons, 526
Total, Dolj, Year 2017, Number of persons, 468
Total, Dolj, Year 2018, Number of persons, 515
Total, Dolj, Year 2019, Number of persons, 519
Total, Dolj, Year 2020, Number of persons, 410
Total, Dolj, Year 2021, Number of persons, 674
Total, Dolj, Year 2022, Number of persons, 914
Total, Dolj, Year 2023, Number of persons, 770
Total, Dolj, Year 2024, Number of persons, 618
Total, Gorj, Year 1990, Number of persons, 80
Total, Gorj, Year 1991, Number of persons, 111
Total, Gorj, Year 1992, Number of persons, 73
Total, Gorj, Year 1993, Number of persons, 46
Total, Gorj, Year 1994, Number of persons, 37
Total, Gorj, Year 1995, Number of persons, 64
Total, Gorj, Year 1996, Number of persons, 86
Total, Gorj, Year 1997, Number of persons, 77
Total, Gorj, Year 1998, Number of persons, 52
Total, Gorj, Year 1999, Number of persons, 40
Total, Gorj, Year 2000, Number of persons, 58
Total, Gorj, Year 2001, Number of persons, 28
Total, Gorj, Year 2002, Number of persons, 33
Total, Gorj, Year 2003, Number of persons, 52
Total, Gorj, Year 2004, Number of persons, 38
Total, Gorj, Year 2005, Number of persons, 43
Total, Gorj, Year 2006, Number of persons, 46
Total, Gorj, Year 2007, Number of persons, 45
Total, Gorj, Year 2008, Number of persons, 50
Total, Gorj, Year 2009, Number of persons, 57
Total, Gorj, Year 2010, Number of persons, 55
Total, Gorj, Year 2011, Number of persons, 84
Total, Gorj, Year 2012, Number of persons, 71
Total, Gorj, Year 2013, Number of persons, 84
Total, Gorj, Year 2014, Number of persons, 69
Total, Gorj, Year 2015, Number of persons, 113
Total, Gorj, Year 2016, Number of persons, 143
Total, Gorj, Year 2017, Number of persons, 148
Total, Gorj, Year 2018, Number of persons, 171
Total, Gorj, Year 2019, Number of persons, 204
Total, Gorj, Year 2020, Number of persons, 140
Total, Gorj, Year 2021, Number of persons, 277
Total, Gorj, Year 2022, Number of persons, 377
Total, Gorj, Year 2023, Number of persons, 355
Total, Gorj, Year 2024, Number of persons, 275
Total, Mehedinti, Year 1990, Number of persons, 239
Total, Mehedinti, Year 1991, Number of persons, 245
Total, Mehedinti, Year 1992, Number of persons, 138
Total, Mehedinti, Year 1993, Number of persons, 78
Total, Mehedinti, Year 1994, Number of persons, 100
Total, Mehedinti, Year 1995, Number of persons, 98
Total, Mehedinti, Year 1996, Number of persons, 113
Total, Mehedinti, Year 1997, Number of persons, 169
Total, Mehedinti, Year 1998, Number of persons, 105
Total, Mehedinti, Year 1999, Number of persons, 88
Total, Mehedinti, Year 2000, Number of persons, 111
Total, Mehedinti, Year 2001, Number of persons, 53
Total, Mehedinti, Year 2002, Number of persons, 36
Total, Mehedinti, Year 2003, Number of persons, 44
Total, Mehedinti, Year 2004, Number of persons, 49
Total, Mehedinti, Year 2005, Number of persons, 46
Total, Mehedinti, Year 2006, Number of persons, 84
Total, Mehedinti, Year 2007, Number of persons, 59
Total, Mehedinti, Year 2008, Number of persons, 56
Total, Mehedinti, Year 2009, Number of persons, 79
Total, Mehedinti, Year 2010, Number of persons, 51
Total, Mehedinti, Year 2011, Number of persons, 108
Total, Mehedinti, Year 2012, Number of persons, 79
Total, Mehedinti, Year 2013, Number of persons, 111
Total, Mehedinti, Year 2014, Number of persons, 92
Total, Mehedinti, Year 2015, Number of persons, 103
Total, Mehedinti, Year 2016, Number of persons, 168
Total, Mehedinti, Year 2017, Number of persons, 148
Total, Mehedinti, Year 2018, Number of persons, 180
Total, Mehedinti, Year 2019, Number of persons, 213
Total, Mehedinti, Year 2020, Number of persons, 144
Total, Mehedinti, Year 2021, Number of persons, 275
Total, Mehedinti, Year 2022, Number of persons, 310
Total, Mehedinti, Year 2023, Number of persons, 339
Total, Mehedinti, Year 2024, Number of persons, 255
Total, Olt, Year 1990, Number of persons, 66
Total, Olt, Year 1991, Number of persons, 89
Total, Olt, Year 1992, Number of persons, 57
Total, Olt, Year 1993, Number of persons, 19
Total, Olt, Year 1994, Number of persons, 38
Total, Olt, Year 1995, Number of persons, 69
Total, Olt, Year 1996, Number of persons, 51
Total, Olt, Year 1997, Number of persons, 102
Total, Olt, Year 1998, Number of persons, 84
Total, Olt, Year 1999, Number of persons, 56
Total, Olt, Year 2000, Number of persons, 96
Total, Olt, Year 2001, Number of persons, 47
Total, Olt, Year 2002, Number of persons, 20
Total, Olt, Year 2003, Number of persons, 43
Total, Olt, Year 2004, Number of persons, 46
Total, Olt, Year 2005, Number of persons, 58
Total, Olt, Year 2006, Number of persons, 77
Total, Olt, Year 2007, Number of persons, 59
Total, Olt, Year 2008, Number of persons, 63
Total, Olt, Year 2009, Number of persons, 76
Total, Olt, Year 2010, Number of persons, 62
Total, Olt, Year 2011, Number of persons, 122
Total, Olt, Year 2012, Number of persons, 195
Total, Olt, Year 2013, Number of persons, 210
Total, Olt, Year 2014, Number of persons, 162
Total, Olt, Year 2015, Number of persons, 190
Total, Olt, Year 2016, Number of persons, 266
Total, Olt, Year 2017, Number of persons, 242
Total, Olt, Year 2018, Number of persons, 358
Total, Olt, Year 2019, Number of persons, 289
Total, Olt, Year 2020, Number of persons, 235
Total, Olt, Year 2021, Number of persons, 400
Total, Olt, Year 2022, Number of persons, 493
Total, Olt, Year 2023, Number of persons, 478
Total, Olt, Year 2024, Number of persons, 370
Total, Valcea, Year 1990, Number of persons, 167
Total, Valcea, Year 1991, Number of persons, 161
Total, Valcea, Year 1992, Number of persons, 91
Total, Valcea, Year 1993, Number of persons, 48
Total, Valcea, Year 1994, Number of persons, 58
Total, Valcea, Year 1995, Number of persons, 124
Total, Valcea, Year 1996, Number of persons, 132
Total, Valcea, Year 1997, Number of persons, 139
Total, Valcea, Year 1998, Number of persons, 128
Total, Valcea, Year 1999, Number of persons, 144
Total, Valcea, Year 2000, Number of persons, 211
Total, Valcea, Year 2001, Number of persons, 116
Total, Valcea, Year 2002, Number of persons, 88
Total, Valcea, Year 2003, Number of persons, 154
Total, Valcea, Year 2004, Number of persons, 150
Total, Valcea, Year 2005, Number of persons, 79
Total, Valcea, Year 2006, Number of persons, 113
Total, Valcea, Year 2007, Number of persons, 78
Total, Valcea, Year 2008, Number of persons, 85
Total, Valcea, Year 2009, Number of persons, 112
Total, Valcea, Year 2010, Number of persons, 89
Total, Valcea, Year 2011, Number of persons, 146
Total, Valcea, Year 2012, Number of persons, 155
Total, Valcea, Year 2013, Number of persons, 115
Total, Valcea, Year 2014, Number of persons, 98
Total, Valcea, Year 2015, Number of persons, 124
Total, Valcea, Year 2016, Number of persons, 260
Total, Valcea, Year 2017, Number of persons, 228
Total, Valcea, Year 2018, Number of persons, 246
Total, Valcea, Year 2019, Number of persons, 272
Total, Valcea, Year 2020, Number of persons, 185
Total, Valcea, Year 2021, Number of persons, 322
Total, Valcea, Year 2022, Number of persons, 424
Total, Valcea, Year 2023, Number of persons, 395
Total, Valcea, Year 2024, Number of persons, 318
Total, Arad, Year 1990, Number of persons, 7335
Total, Arad, Year 1991, Number of persons, 2808
Total, Arad, Year 1992, Number of persons, 1422
Total, Arad, Year 1993, Number of persons, 2226
Total, Arad, Year 1994, Number of persons, 820
Total, Arad, Year 1995, Number of persons, 1076
Total, Arad, Year 1996, Number of persons, 860
Total, Arad, Year 1997, Number of persons, 971
Total, Arad, Year 1998, Number of persons, 501
Total, Arad, Year 1999, Number of persons, 357
Total, Arad, Year 2000, Number of persons, 437
Total, Arad, Year 2001, Number of persons, 273
Total, Arad, Year 2002, Number of persons, 240
Total, Arad, Year 2003, Number of persons, 264
Total, Arad, Year 2004, Number of persons, 345
Total, Arad, Year 2005, Number of persons, 249
Total, Arad, Year 2006, Number of persons, 330
Total, Arad, Year 2007, Number of persons, 200
Total, Arad, Year 2008, Number of persons, 226
Total, Arad, Year 2009, Number of persons, 251
Total, Arad, Year 2010, Number of persons, 206
Total, Arad, Year 2011, Number of persons, 366
Total, Arad, Year 2012, Number of persons, 461
Total, Arad, Year 2013, Number of persons, 373
Total, Arad, Year 2014, Number of persons, 286
Total, Arad, Year 2015, Number of persons, 378
Total, Arad, Year 2016, Number of persons, 561
Total, Arad, Year 2017, Number of persons, 552
Total, Arad, Year 2018, Number of persons, 590
Total, Arad, Year 2019, Number of persons, 558
Total, Arad, Year 2020, Number of persons, 557
Total, Arad, Year 2021, Number of persons, 788
Total, Arad, Year 2022, Number of persons, 1122
Total, Arad, Year 2023, Number of persons, 937
Total, Arad, Year 2024, Number of persons, 766
Total, Caras-Severin, Year 1990, Number of persons, 3703
Total, Caras-Severin, Year 1991, Number of persons, 1844
Total, Caras-Severin, Year 1992, Number of persons, 1154
Total, Caras-Severin, Year 1993, Number of persons, 748
Total, Caras-Severin, Year 1994, Number of persons, 715
Total, Caras-Severin, Year 1995, Number of persons, 1068
Total, Caras-Severin, Year 1996, Number of persons, 857
Total, Caras-Severin, Year 1997, Number of persons, 751
Total, Caras-Severin, Year 1998, Number of persons, 433
Total, Caras-Severin, Year 1999, Number of persons, 262
Total, Caras-Severin, Year 2000, Number of persons, 432
Total, Caras-Severin, Year 2001, Number of persons, 153
Total, Caras-Severin, Year 2002, Number of persons, 195
Total, Caras-Severin, Year 2003, Number of persons, 207
Total, Caras-Severin, Year 2004, Number of persons, 240
Total, Caras-Severin, Year 2005, Number of persons, 229
Total, Caras-Severin, Year 2006, Number of persons, 348
Total, Caras-Severin, Year 2007, Number of persons, 218
Total, Caras-Severin, Year 2008, Number of persons, 204
Total, Caras-Severin, Year 2009, Number of persons, 242
Total, Caras-Severin, Year 2010, Number of persons, 162
Total, Caras-Severin, Year 2011, Number of persons, 332
Total, Caras-Severin, Year 2012, Number of persons, 319
Total, Caras-Severin, Year 2013, Number of persons, 381
Total, Caras-Severin, Year 2014, Number of persons, 293
Total, Caras-Severin, Year 2015, Number of persons, 359
Total, Caras-Severin, Year 2016, Number of persons, 508
Total, Caras-Severin, Year 2017, Number of persons, 517
Total, Caras-Severin, Year 2018, Number of persons, 700
Total, Caras-Severin, Year 2019, Number of persons, 633
Total, Caras-Severin, Year 2020, Number of persons, 485
Total, Caras-Severin, Year 2021, Number of persons, 727
Total, Caras-Severin, Year 2022, Number of persons, 980
Total, Caras-Severin, Year 2023, Number of persons, 863
Total, Caras-Severin, Year 2024, Number of persons, 691
Total, Hunedoara, Year 1990, Number of persons, 1071
Total, Hunedoara, Year 1991, Number of persons, 824
Total, Hunedoara, Year 1992, Number of persons, 570
Total, Hunedoara, Year 1993, Number of persons, 311
Total, Hunedoara, Year 1994, Number of persons, 323
Total, Hunedoara, Year 1995, Number of persons, 545
Total, Hunedoara, Year 1996, Number of persons, 396
Total, Hunedoara, Year 1997, Number of persons, 411
Total, Hunedoara, Year 1998, Number of persons, 291
Total, Hunedoara, Year 1999, Number of persons, 227
Total, Hunedoara, Year 2000, Number of persons, 258
Total, Hunedoara, Year 2001, Number of persons, 168
Total, Hunedoara, Year 2002, Number of persons, 158
Total, Hunedoara, Year 2003, Number of persons, 239
Total, Hunedoara, Year 2004, Number of persons, 271
Total, Hunedoara, Year 2005, Number of persons, 194
Total, Hunedoara, Year 2006, Number of persons, 308
Total, Hunedoara, Year 2007, Number of persons, 247
Total, Hunedoara, Year 2008, Number of persons, 246
Total, Hunedoara, Year 2009, Number of persons, 300
Total, Hunedoara, Year 2010, Number of persons, 220
Total, Hunedoara, Year 2011, Number of persons, 364
Total, Hunedoara, Year 2012, Number of persons, 339
Total, Hunedoara, Year 2013, Number of persons, 395
Total, Hunedoara, Year 2014, Number of persons, 290
Total, Hunedoara, Year 2015, Number of persons, 354
Total, Hunedoara, Year 2016, Number of persons, 555
Total, Hunedoara, Year 2017, Number of persons, 632
Total, Hunedoara, Year 2018, Number of persons, 633
Total, Hunedoara, Year 2019, Number of persons, 571
Total, Hunedoara, Year 2020, Number of persons, 497
Total, Hunedoara, Year 2021, Number of persons, 784
Total, Hunedoara, Year 2022, Number of persons, 1149
Total, Hunedoara, Year 2023, Number of persons, 1037
Total, Hunedoara, Year 2024, Number of persons, 777
Total, Timis, Year 1990, Number of persons, 20426
Total, Timis, Year 1991, Number of persons, 5038
Total, Timis, Year 1992, Number of persons, 3958
Total, Timis, Year 1993, Number of persons, 2567
Total, Timis, Year 1994, Number of persons, 2834
Total, Timis, Year 1995, Number of persons, 3021
Total, Timis, Year 1996, Number of persons, 2583
Total, Timis, Year 1997, Number of persons, 2089
Total, Timis, Year 1998, Number of persons, 1291
Total, Timis, Year 1999, Number of persons, 776
Total, Timis, Year 2000, Number of persons, 941
Total, Timis, Year 2001, Number of persons, 598
Total, Timis, Year 2002, Number of persons, 528
Total, Timis, Year 2003, Number of persons, 711
Total, Timis, Year 2004, Number of persons, 882
Total, Timis, Year 2005, Number of persons, 746
Total, Timis, Year 2006, Number of persons, 960
Total, Timis, Year 2007, Number of persons, 564
Total, Timis, Year 2008, Number of persons, 594
Total, Timis, Year 2009, Number of persons, 627
Total, Timis, Year 2010, Number of persons, 524
Total, Timis, Year 2011, Number of persons, 1072
Total, Timis, Year 2012, Number of persons, 1009
Total, Timis, Year 2013, Number of persons, 962
Total, Timis, Year 2014, Number of persons, 599
Total, Timis, Year 2015, Number of persons, 839
Total, Timis, Year 2016, Number of persons, 1323
Total, Timis, Year 2017, Number of persons, 1285
Total, Timis, Year 2018, Number of persons, 1407
Total, Timis, Year 2019, Number of persons, 1427
Total, Timis, Year 2020, Number of persons, 1078
Total, Timis, Year 2021, Number of persons, 1677
Total, Timis, Year 2022, Number of persons, 2309
Total, Timis, Year 2023, Number of persons, 1989
Total, Timis, Year 2024, Number of persons, 1546
