Sex, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Harghita, Year 2009, Number of persons, 111
Total, Harghita, Year 2010, Number of persons, 82
Total, Harghita, Year 2011, Number of persons, 130
Total, Harghita, Year 2012, Number of persons, 114
Total, Harghita, Year 2013, Number of persons, 111
Total, Harghita, Year 2014, Number of persons, 89
Total, Harghita, Year 2015, Number of persons, 100
Total, Harghita, Year 2016, Number of persons, 115
Total, Harghita, Year 2017, Number of persons, 96
Total, Harghita, Year 2018, Number of persons, 99
Total, Harghita, Year 2019, Number of persons, 105
Total, Harghita, Year 2020, Number of persons, 81
Total, Harghita, Year 2021, Number of persons, 138
Total, Harghita, Year 2022, Number of persons, 200
Total, Harghita, Year 2023, Number of persons, 200
Total, Harghita, Year 2024, Number of persons, 174
Total, Mures, Year 1990, Number of persons, 4920
Total, Mures, Year 1991, Number of persons, 2286
Total, Mures, Year 1992, Number of persons, 1715
Total, Mures, Year 1993, Number of persons, 1163
Total, Mures, Year 1994, Number of persons, 774
Total, Mures, Year 1995, Number of persons, 1095
Total, Mures, Year 1996, Number of persons, 706
Total, Mures, Year 1997, Number of persons, 745
Total, Mures, Year 1998, Number of persons, 523
Total, Mures, Year 1999, Number of persons, 388
Total, Mures, Year 2000, Number of persons, 528
Total, Mures, Year 2001, Number of persons, 431
Total, Mures, Year 2002, Number of persons, 454
Total, Mures, Year 2003, Number of persons, 510
Total, Mures, Year 2004, Number of persons, 772
Total, Mures, Year 2005, Number of persons, 435
Total, Mures, Year 2006, Number of persons, 486
Total, Mures, Year 2007, Number of persons, 277
Total, Mures, Year 2008, Number of persons, 255
Total, Mures, Year 2009, Number of persons, 268
Total, Mures, Year 2010, Number of persons, 222
Total, Mures, Year 2011, Number of persons, 376
Total, Mures, Year 2012, Number of persons, 299
Total, Mures, Year 2013, Number of persons, 339
Total, Mures, Year 2014, Number of persons, 254
Total, Mures, Year 2015, Number of persons, 278
Total, Mures, Year 2016, Number of persons, 435
Total, Mures, Year 2017, Number of persons, 415
Total, Mures, Year 2018, Number of persons, 511
Total, Mures, Year 2019, Number of persons, 453
Total, Mures, Year 2020, Number of persons, 355
Total, Mures, Year 2021, Number of persons, 598
Total, Mures, Year 2022, Number of persons, 739
Total, Mures, Year 2023, Number of persons, 685
Total, Mures, Year 2024, Number of persons, 591
Total, Sibiu, Year 1990, Number of persons, 20849
Total, Sibiu, Year 1991, Number of persons, 7309
Total, Sibiu, Year 1992, Number of persons, 5256
Total, Sibiu, Year 1993, Number of persons, 1815
Total, Sibiu, Year 1994, Number of persons, 1183
Total, Sibiu, Year 1995, Number of persons, 1597
Total, Sibiu, Year 1996, Number of persons, 1199
Total, Sibiu, Year 1997, Number of persons, 1208
Total, Sibiu, Year 1998, Number of persons, 745
Total, Sibiu, Year 1999, Number of persons, 494
Total, Sibiu, Year 2000, Number of persons, 661
Total, Sibiu, Year 2001, Number of persons, 284
Total, Sibiu, Year 2002, Number of persons, 346
Total, Sibiu, Year 2003, Number of persons, 645
Total, Sibiu, Year 2004, Number of persons, 720
Total, Sibiu, Year 2005, Number of persons, 504
Total, Sibiu, Year 2006, Number of persons, 768
Total, Sibiu, Year 2007, Number of persons, 413
Total, Sibiu, Year 2008, Number of persons, 430
Total, Sibiu, Year 2009, Number of persons, 506
Total, Sibiu, Year 2010, Number of persons, 315
Total, Sibiu, Year 2011, Number of persons, 509
Total, Sibiu, Year 2012, Number of persons, 529
Total, Sibiu, Year 2013, Number of persons, 509
Total, Sibiu, Year 2014, Number of persons, 355
Total, Sibiu, Year 2015, Number of persons, 502
Total, Sibiu, Year 2016, Number of persons, 705
Total, Sibiu, Year 2017, Number of persons, 689
Total, Sibiu, Year 2018, Number of persons, 803
Total, Sibiu, Year 2019, Number of persons, 728
Total, Sibiu, Year 2020, Number of persons, 602
Total, Sibiu, Year 2021, Number of persons, 977
Total, Sibiu, Year 2022, Number of persons, 1158
Total, Sibiu, Year 2023, Number of persons, 1120
Total, Sibiu, Year 2024, Number of persons, 822
Total, Bacau, Year 1990, Number of persons, 232
Total, Bacau, Year 1991, Number of persons, 240
Total, Bacau, Year 1992, Number of persons, 200
Total, Bacau, Year 1993, Number of persons, 116
Total, Bacau, Year 1994, Number of persons, 151
Total, Bacau, Year 1995, Number of persons, 239
Total, Bacau, Year 1996, Number of persons, 262
Total, Bacau, Year 1997, Number of persons, 294
Total, Bacau, Year 1998, Number of persons, 269
Total, Bacau, Year 1999, Number of persons, 264
Total, Bacau, Year 2000, Number of persons, 351
Total, Bacau, Year 2001, Number of persons, 314
Total, Bacau, Year 2002, Number of persons, 196
Total, Bacau, Year 2003, Number of persons, 355
Total, Bacau, Year 2004, Number of persons, 457
