Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Bucharest Municipality, Year 2019, Number of persons, 1832802
Total, Total, Total, Bucharest Municipality, Year 2020, Number of persons, 1841052
Total, Total, Total, Bucharest Municipality, Year 2021, Number of persons, 1828781
Total, Total, Total, Bucharest Municipality, Year 2022, Number of persons, 1722974
Total, Total, Total, Bucharest Municipality, Year 2023, Number of persons, 1724966
Total, Total, Total, Bucharest Municipality, Year 2024, Number of persons, 1721784
Total, Total, Total, Bucharest Municipality, Year 2025, Number of persons, 1709191
Total, Total, Total, Dolj, Year 2012, Number of persons, 659016
Total, Total, Total, Dolj, Year 2013, Number of persons, 654456
Total, Total, Total, Dolj, Year 2014, Number of persons, 650767
Total, Total, Total, Dolj, Year 2015, Number of persons, 646620
Total, Total, Total, Dolj, Year 2016, Number of persons, 641040
Total, Total, Total, Dolj, Year 2017, Number of persons, 635606
Total, Total, Total, Dolj, Year 2018, Number of persons, 631026
Total, Total, Total, Dolj, Year 2019, Number of persons, 626017
Total, Total, Total, Dolj, Year 2020, Number of persons, 622148
Total, Total, Total, Dolj, Year 2021, Number of persons, 616653
Total, Total, Total, Dolj, Year 2022, Number of persons, 599580
Total, Total, Total, Dolj, Year 2023, Number of persons, 599631
Total, Total, Total, Dolj, Year 2024, Number of persons, 598371
Total, Total, Total, Dolj, Year 2025, Number of persons, 595229
Total, Total, Total, Gorj, Year 2012, Number of persons, 340030
Total, Total, Total, Gorj, Year 2013, Number of persons, 336995
Total, Total, Total, Gorj, Year 2014, Number of persons, 334849
Total, Total, Total, Gorj, Year 2015, Number of persons, 331428
Total, Total, Total, Gorj, Year 2016, Number of persons, 327537
Total, Total, Total, Gorj, Year 2017, Number of persons, 323634
Total, Total, Total, Gorj, Year 2018, Number of persons, 319903
Total, Total, Total, Gorj, Year 2019, Number of persons, 315508
Total, Total, Total, Gorj, Year 2020, Number of persons, 312035
Total, Total, Total, Gorj, Year 2021, Number of persons, 307972
Total, Total, Total, Gorj, Year 2022, Number of persons, 313025
Total, Total, Total, Gorj, Year 2023, Number of persons, 311301
Total, Total, Total, Gorj, Year 2024, Number of persons, 310056
Total, Total, Total, Gorj, Year 2025, Number of persons, 307702
Total, Total, Total, Mehedinti, Year 2012, Number of persons, 264338
Total, Total, Total, Mehedinti, Year 2013, Number of persons, 261670
Total, Total, Total, Mehedinti, Year 2014, Number of persons, 259026
Total, Total, Total, Mehedinti, Year 2015, Number of persons, 256011
Total, Total, Total, Mehedinti, Year 2016, Number of persons, 252600
Total, Total, Total, Mehedinti, Year 2017, Number of persons, 249336
Total, Total, Total, Mehedinti, Year 2018, Number of persons, 244960
Total, Total, Total, Mehedinti, Year 2019, Number of persons, 241153
Total, Total, Total, Mehedinti, Year 2020, Number of persons, 238830
Total, Total, Total, Mehedinti, Year 2021, Number of persons, 236362
Total, Total, Total, Mehedinti, Year 2022, Number of persons, 233636
Total, Total, Total, Mehedinti, Year 2023, Number of persons, 231398
Total, Total, Total, Mehedinti, Year 2024, Number of persons, 230094
Total, Total, Total, Mehedinti, Year 2025, Number of persons, 229220
Total, Total, Total, Olt, Year 2012, Number of persons, 433839
Total, Total, Total, Olt, Year 2013, Number of persons, 428160
Total, Total, Total, Olt, Year 2014, Number of persons, 423445
Total, Total, Total, Olt, Year 2015, Number of persons, 418463
Total, Total, Total, Olt, Year 2016, Number of persons, 412491
Total, Total, Total, Olt, Year 2017, Number of persons, 407717
Total, Total, Total, Olt, Year 2018, Number of persons, 400763
Total, Total, Total, Olt, Year 2019, Number of persons, 394448
Total, Total, Total, Olt, Year 2020, Number of persons, 389906
Total, Total, Total, Olt, Year 2021, Number of persons, 385935
Total, Total, Total, Olt, Year 2022, Number of persons, 381731
Total, Total, Total, Olt, Year 2023, Number of persons, 378567
Total, Total, Total, Olt, Year 2024, Number of persons, 376539
Total, Total, Total, Olt, Year 2025, Number of persons, 375641
Total, Total, Total, Valcea, Year 2012, Number of persons, 370134
Total, Total, Total, Valcea, Year 2013, Number of persons, 367421
Total, Total, Total, Valcea, Year 2014, Number of persons, 365697
Total, Total, Total, Valcea, Year 2015, Number of persons, 363270
Total, Total, Total, Valcea, Year 2016, Number of persons, 359814
Total, Total, Total, Valcea, Year 2017, Number of persons, 356647
Total, Total, Total, Valcea, Year 2018, Number of persons, 353161
Total, Total, Total, Valcea, Year 2019, Number of persons, 350089
Total, Total, Total, Valcea, Year 2020, Number of persons, 348495
Total, Total, Total, Valcea, Year 2021, Number of persons, 346039
Total, Total, Total, Valcea, Year 2022, Number of persons, 341630
Total, Total, Total, Valcea, Year 2023, Number of persons, 340914
Total, Total, Total, Valcea, Year 2024, Number of persons, 340637
Total, Total, Total, Valcea, Year 2025, Number of persons, 340236
Total, Total, Total, Arad, Year 2012, Number of persons, 430683
Total, Total, Total, Arad, Year 2013, Number of persons, 429625
Total, Total, Total, Arad, Year 2014, Number of persons, 428079
Total, Total, Total, Arad, Year 2015, Number of persons, 426517
Total, Total, Total, Arad, Year 2016, Number of persons, 424075
Total, Total, Total, Arad, Year 2017, Number of persons, 421954
Total, Total, Total, Arad, Year 2018, Number of persons, 419135
Total, Total, Total, Arad, Year 2019, Number of persons, 417274
Total, Total, Total, Arad, Year 2020, Number of persons, 415914
Total, Total, Total, Arad, Year 2021, Number of persons, 413035
Total, Total, Total, Arad, Year 2022, Number of persons, 410282
Total, Total, Total, Arad, Year 2023, Number of persons, 410451
Total, Total, Total, Arad, Year 2024, Number of persons, 410871
Total, Total, Total, Arad, Year 2025, Number of persons, 410320
Total, Total, Total, Caras-Severin, Year 2012, Number of persons, 294575
Total, Total, Total, Caras-Severin, Year 2013, Number of persons, 291874
Total, Total, Total, Caras-Severin, Year 2014, Number of persons, 289011
Total, Total, Total, Caras-Severin, Year 2015, Number of persons, 286205
Total, Total, Total, Caras-Severin, Year 2016, Number of persons, 282467
Total, Total, Total, Caras-Severin, Year 2017, Number of persons, 279123
Total, Total, Total, Caras-Severin, Year 2018, Number of persons, 275041
Total, Total, Total, Caras-Severin, Year 2019, Number of persons, 271379
Total, Total, Total, Caras-Severin, Year 2020, Number of persons, 269810
Total, Total, Total, Caras-Severin, Year 2021, Number of persons, 266592
Total, Total, Total, Caras-Severin, Year 2022, Number of persons, 246319
Total, Total, Total, Caras-Severin, Year 2023, Number of persons, 244904
Total, Total, Total, Caras-Severin, Year 2024, Number of persons, 243685
Total, Total, Total, Caras-Severin, Year 2025, Number of persons, 242232
Total, Total, Total, Hunedoara, Year 2012, Number of persons, 417008
Total, Total, Total, Hunedoara, Year 2013, Number of persons, 412336
Total, Total, Total, Hunedoara, Year 2014, Number of persons, 408002
Total, Total, Total, Hunedoara, Year 2015, Number of persons, 403701
Total, Total, Total, Hunedoara, Year 2016, Number of persons, 398950
Total, Total, Total, Hunedoara, Year 2017, Number of persons, 393198
Total, Total, Total, Hunedoara, Year 2018, Number of persons, 388614
Total, Total, Total, Hunedoara, Year 2019, Number of persons, 383787
Total, Total, Total, Hunedoara, Year 2020, Number of persons, 380511
Total, Total, Total, Hunedoara, Year 2021, Number of persons, 374298
Total, Total, Total, Hunedoara, Year 2022, Number of persons, 360692
Total, Total, Total, Hunedoara, Year 2023, Number of persons, 357563
Total, Total, Total, Hunedoara, Year 2024, Number of persons, 354879
Total, Total, Total, Hunedoara, Year 2025, Number of persons, 351253
Total, Total, Total, Timis, Year 2012, Number of persons, 685821
Total, Total, Total, Timis, Year 2013, Number of persons, 690763
Total, Total, Total, Timis, Year 2014, Number of persons, 693271
Total, Total, Total, Timis, Year 2015, Number of persons, 695760
Total, Total, Total, Timis, Year 2016, Number of persons, 696720
Total, Total, Total, Timis, Year 2017, Number of persons, 698275
Total, Total, Total, Timis, Year 2018, Number of persons, 701506
Total, Total, Total, Timis, Year 2019, Number of persons, 705292
Total, Total, Total, Timis, Year 2020, Number of persons, 706585
Total, Total, Total, Timis, Year 2021, Number of persons, 706497
Total, Total, Total, Timis, Year 2022, Number of persons, 652238
Total, Total, Total, Timis, Year 2023, Number of persons, 658515
Total, Total, Total, Timis, Year 2024, Number of persons, 663543
Total, Total, Total, Timis, Year 2025, Number of persons, 667225
