Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Brasov, Year 2006, Number of persons, 623325
Total, Total, Total, Brasov, Year 2007, Number of persons, 623716
Total, Total, Total, Brasov, Year 2008, Number of persons, 624778
Total, Total, Total, Brasov, Year 2009, Number of persons, 625669
Total, Total, Total, Brasov, Year 2010, Number of persons, 626678
Total, Total, Total, Brasov, Year 2011, Number of persons, 627696
Total, Total, Total, Covasna, Year 1992, Number of persons, 235254
Total, Total, Total, Covasna, Year 1993, Number of persons, 234921
Total, Total, Total, Covasna, Year 1994, Number of persons, 234585
Total, Total, Total, Covasna, Year 1995, Number of persons, 233931
Total, Total, Total, Covasna, Year 1996, Number of persons, 233393
Total, Total, Total, Covasna, Year 1997, Number of persons, 233039
Total, Total, Total, Covasna, Year 1998, Number of persons, 232871
Total, Total, Total, Covasna, Year 1999, Number of persons, 232747
Total, Total, Total, Covasna, Year 2000, Number of persons, 232833
Total, Total, Total, Covasna, Year 2001, Number of persons, 233129
Total, Total, Total, Covasna, Year 2002, Number of persons, 233366
Total, Total, Total, Covasna, Year 2003, Number of persons, 233075
Total, Total, Total, Covasna, Year 2004, Number of persons, 232781
Total, Total, Total, Covasna, Year 2005, Number of persons, 232574
Total, Total, Total, Covasna, Year 2006, Number of persons, 232675
Total, Total, Total, Covasna, Year 2007, Number of persons, 232559
Total, Total, Total, Covasna, Year 2008, Number of persons, 232408
Total, Total, Total, Covasna, Year 2009, Number of persons, 232251
Total, Total, Total, Covasna, Year 2010, Number of persons, 232052
Total, Total, Total, Covasna, Year 2011, Number of persons, 231521
Total, Total, Total, Harghita, Year 1992, Number of persons, 349886
Total, Total, Total, Harghita, Year 1993, Number of persons, 348637
Total, Total, Total, Harghita, Year 1994, Number of persons, 347410
Total, Total, Total, Harghita, Year 1995, Number of persons, 346461
Total, Total, Total, Harghita, Year 1996, Number of persons, 345253
Total, Total, Total, Harghita, Year 1997, Number of persons, 344076
Total, Total, Total, Harghita, Year 1998, Number of persons, 343378
Total, Total, Total, Harghita, Year 1999, Number of persons, 343058
